Scheme Name	Net Asset Value
HSBC Banking and PSU Debt Fund - Direct Daily IDCW	11.1907
HSBC Banking and PSU Debt Fund - Direct Growth	25.559
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW	11.4576
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW	10.3629
HSBC Banking and PSU Debt Fund - Regular Daily IDCW	11.116
HSBC Banking and PSU Debt Fund - Regular Growth	24.2745
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW	10.7349
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW	10.3355
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW	10.0549
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW	10.2427
ICICI Prudential Banking and PSU Debt Fund - Bonus	15.8889
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW	10.2538
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth	34.1262
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW	13.0772
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW	10.3708
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus	13.8665
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option	13.1098
ICICI Prudential Banking and PSU Debt Fund - Growth	32.7504
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW	11.0767
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option	12.9261
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend	10.0122
ICICI Prudential Banking and PSU Debt Fund Retail Growth	21.631
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend	10.3305
Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment)	1048.3179
Invesco India Banking and PSU Fund - Direct Plan -  Growth Option	2434.8914
Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment)	1063.2073
Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1020.6433
Invesco India Banking and PSU Fund - Growth Option	2275.2151
Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment)	1064.978
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option	13.3389
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option	13.3399
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option	13.0062
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option	13.0072
Kotak Banking and PSU Debt - Annual Dividend	16.1842
Kotak Banking and PSU Debt - Daily Dividend Reinvestment	10.188
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment	10.2604
Kotak Banking and PSU Debt - Growth	65.5979
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option	12.3243
Kotak Banking and PSU Debt Direct - Annual Dividend	17.1427
Kotak Banking and PSU Debt Direct - Growth	68.3219
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option	10.3324
LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW	14.3176
LIC MF Banking & PSU Fund-Direct Plan-Growth	37.6489
LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW	14.179
LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW	10.0573
LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW	11.2644
LIC MF Banking & PSU Fund-Regular Plan-Growth	34.9276
