Scheme Name	Net Asset Value
LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW	13.0721
LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW	10.3896
Mirae Asset Banking and PSU Fund - Direct Plan - Growth	13.2984
Mirae Asset Banking and PSU Fund - Direct Plan - IDCW	13.2939
Mirae Asset Banking and PSU Fund - Regular Plan - Growth	13.0135
Mirae Asset Banking and PSU Fund - Regular plan - IDCW	13.0146
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option	21.6193
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option	21.6192
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option	20.8413
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option	21.6192
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option	10.7676
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option	11.2002
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option	10.5263
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option	20.8413
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option	10.7002
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option	11.1342
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option	10.5270
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1462.9274
SBI BANKING & PSU FUND - Direct Plan - Growth	3321.2672
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1316.2241
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1459.6793
SBI BANKING & PSU FUND - Regular Paln - Growth	3126.6916
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1426.4834
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1235.5492
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1426.1404
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8642
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	43.7048
